Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,1.208000,1.310000,1.124000,1.263000,1.263000,0
2022-01-01,1.300000,1.691000,1.297000,1.614000,1.614000,0
2022-02-01,1.587000,1.972000,1.580000,1.721000,1.721000,0
2022-03-01,1.599000,2.606000,1.523000,2.422000,2.422000,0
2022-04-01,2.532000,3.029000,2.513000,2.912000,2.912000,0
2022-05-01,2.948000,3.084000,2.677000,2.811000,2.811000,0
2022-06-01,2.853000,3.596000,2.819000,3.004000,3.004000,0
2022-07-01,2.916000,3.212000,2.653000,2.695000,2.695000,0
2022-08-01,2.679000,3.311000,2.584000,3.284000,3.284000,0
2022-09-01,3.353000,4.239000,3.269000,4.041000,4.041000,0
2022-10-01,3.963000,4.499000,3.782000,4.248000,4.248000,0
2022-11-01,4.122000,4.452000,3.825000,3.832000,3.832000,0
2022-12-01,3.757000,4.035000,3.556000,4.000000,4.000000,0
2023-01-01,3.899000,3.976000,3.432000,3.638000,3.638000,0
2023-02-01,3.586000,4.243000,3.413000,4.168000,4.168000,0
2023-03-01,4.203000,4.358000,3.246000,3.611000,3.611000,0
2023-04-01,3.637000,3.750000,3.269000,3.536000,3.536000,0
